School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Christian Brothers College,37.68,32.78,70.47,1,4,1
Blue Springs,28.06,37.98,66.04,4,1,2
Park Hill,32.73,25.92,58.65,2,8,3
Lee's Summit West,30.42,27.27,57.69,3,5,4
Eureka,22.19,33.4,55.59,9,3,5
Rockhurst,17.2,36.99,54.18,15,2,6
Blue Springs South,26.46,24.38,50.84,6,10,7
Lee's Summit North,21.94,26.86,48.8,10,6,8
Rock Bridge,20.55,25.19,45.75,11,9,9
Ft. Zumwalt West,27.1,16.21,43.32,5,16,10
Lindbergh,23.77,19.2,42.97,7,14,11
Kirkwood,16.3,26.53,42.83,18,7,12
Hazelwood Central,16.89,22.58,39.47,17,11,13
Lee's Summit,18.05,21.27,39.32,12,12,14
Francis Howell,17.2,20.96,38.15,16,13,15
Lafayette (Wildwood),17.23,18.92,36.15,14,15,16
Raymore-Peculiar,17.24,14.94,32.18,13,18,17
Joplin,14.95,15.5,30.45,20,17,18
Ritenour,23.19,7.06,30.25,8,23,19
Jefferson City,16.28,13.68,29.95,19,19,20
SLUH,12.16,9.96,22.13,22,21,21
De Smet Jesuit,9.82,11.32,21.14,23,20,22
Marquette,13.19,6.05,19.24,21,25,23
Hazelwood West,7.63,7.58,15.21,25,22,24
Fox,6.02,6.7,12.72,26,24,25
Kickapoo,3.85,5.83,9.68,27,26,26
Northwest (Cedar Hill),-0.1,5.73,5.63,30,27,27
Troy Buchanan,2.9,1.28,4.18,28,28,28
Francis Howell Central,9.69,-8.88,0.81,24,31,29
Mehlville,0.59,-0.39,0.2,29,29,30
McCluer North,-13.76,-3.72,-17.48,32,30,31
Seckman,-12.41,-12.49,-24.91,31,32,32
