Date,Home Team,Home Score,Away Team,Away Score
2017-08-18,Butler,0,Adrian,28
2017-08-18,Houston,14,Ash Grove,36
2017-08-18,Mexico,14,Battle,68
2017-08-18,Harrisonville,41,Benton,6
2017-08-18,Pembroke Hill,30,Bishop LeBlond,27
2017-08-18,Lee's Summit West,49,Blue Springs South,28
2017-08-18,Republic,34,Bolivar,24
2017-08-18,Eldon,30,Boonville,15
2017-08-18,St. Clair,59,Bowling Green,22
2017-08-18,Fair Grove,38,Buffalo,15
2017-08-18,Monett,19,California,6
2017-08-18,Hillcrest,13,Camdenton,35
2017-08-18,Lafayette County,48,Cameron,0
2017-08-18,Soldan International Studies,6,Cardinal Ritter,47
2017-08-18,Ozark,26,Carthage,20
2017-08-18,Portageville,34,Caruthersville,69
2017-08-18,Lamar,28,Cassville,0
2017-08-18,East (Kansas City),6,Center,46
2017-08-18,Liberty (Mountain View),27,Central (Cape Girardeau),41
2017-08-18,Hogan Prep Academy Charter,28,Central (Kansas City),22
2017-08-18,Malden,50,Central (New Madrid County),12
2017-08-18,Liberty,48,Central (St. Joseph),3
2017-08-18,Kirkwood,20,Chaminade College Prep,14
2017-08-18,Miller Career Academy,28,Christian Brothers College,69
2017-08-18,Monroe City,44,Clark County,36
2017-08-18,Louisiana,38,Clopton with Elsberry,44
2017-08-18,Cole Camp,47,Concordia,13
2017-08-18,Archie,6,Crest Ridge,7
2017-08-18,Chaffee,48,Crystal City,0
2017-08-18,Hazelwood Central,28,De Smet Jesuit,13
2017-08-18,Perryville,14,DeSoto with Kingston,7
2017-08-18,Ste. Genevieve,8,Dexter,16
2017-08-18,Appleton City with Montrose,13,Drexel with Miami (Amoret),20
2017-08-18,St. Charles,29,Duchesne,42
2017-08-18,Stockton,18,El Dorado Springs,50
2017-08-18,Fox,14,Farmington,28
2017-08-18,South Callaway,25,Father Tolton with Calvary Lutheran,19
2017-08-18,Carrollton,22,Fayette,30
2017-08-18,Vashon,6,Festus,48
2017-08-18,Mehlville,19,Francis Howell,49
2017-08-18,Kennett,50,Fredericktown,14
2017-08-18,Francis Howell Central,70,Ft. Zumwalt East,52
2017-08-18,Ladue Horton Watkins,21,Ft. Zumwalt North,42
2017-08-18,Troy Buchanan,35,Ft. Zumwalt South,22
2017-08-18,Eureka,45,Ft. Zumwalt West,26
2017-08-18,Osage,32,Fulton,26
2017-08-18,North Platte,13,Gallatin,42
2017-08-18,SLUH,42,Gateway,0
2017-08-18,Joplin,25,Glendale,54
2017-08-18,Platte County,45,Grandview,6
2017-08-18,Putnam County,14,Hallsville,33
2017-08-18,Paris,38,Harrisburg,7
2017-08-18,Thayer,14,Hayti,56
2017-08-18,Webster Groves,34,Hazelwood West,27
2017-08-18,Hannibal,41,Helias Catholic,28
2017-08-18,Montgomery County,14,Hermann,28
2017-08-18,Jackson,39,Hickman,24
2017-08-18,Centralia,44,Highland,6
2017-08-18,Affton,20,Hillsboro,34
2017-08-18,Sarcoxie,45,Jasper,7
2017-08-18,Cabool,8,Jefferson (Festus),56
2017-08-18,McCluer,12,Jennings,18
2017-08-18,Fort Osage,20,Kearney,15
2017-08-18,East Prairie,54,Kelly,12
2017-08-18,Parkview,19,Kickapoo,45
2017-08-18,Blair Oaks,34,Kirksville,19
2017-08-18,Schuyler County,8,Knox County,16
2017-08-18,North Kansas City,14,Lafayette (St. Joseph),48
2017-08-18,Timberland,21,Lafayette (Wildwood),29
2017-08-18,Rolla,28,Lebanon,34
2017-08-18,Blue Springs,43,Lee's Summit,7
2017-08-18,Lockwood with Golden City,21,Liberal with Bronaugh,12
2017-08-18,Staley,50,Liberty North,27
2017-08-18,Rich Hill with Hume,2,Lincoln,46
2017-08-18,Central (Springfield),0,Logan-Rogersville,21
2017-08-18,Wellington-Napoleon,58,Lone Jack,19
